Date,Description,is hol,date
2021-09-11,First Day of School,,11 Sep 2021 - First Day of School
2021-09-18,,,18 Sep 2021
2021-09-25,,,25 Sep 2021
2021-10-02,,,02 Oct 2021
2021-10-09,Thanksgiving,1.0,09 Oct 2021 - Thanksgiving;1
2021-10-16,,,16 Oct 2021
2021-10-23,,,23 Oct 2021
2021-10-30,,,30 Oct 2021
2021-11-06,,,06 Nov 2021
2021-11-13,Review 1,,13 Nov 2021 - Review 1
2021-11-20,Test 1,,20 Nov 2021 - Test 1
2021-11-27,,,27 Nov 2021
2021-12-04,,,04 Dec 2021
2021-12-11,,,11 Dec 2021
2021-12-18,Break,1.0,18 Dec 2021 - Break;1
2021-12-25,Christmas,1.0,25 Dec 2021 - Christmas;1
2022-01-01,New Year,1.0,01 Jan 2022 - New Year;1
2022-01-08,,,08 Jan 2022
2022-01-15,,,15 Jan 2022
2022-01-22,,,22 Jan 2022
2022-01-29,,,29 Jan 2022
2022-02-05,,,05 Feb 2022
2022-02-12,Review 2,,12 Feb 2022 - Review 2
2022-02-19,Family Day,1.0,19 Feb 2022 - Family Day;1
2022-02-26,Test 2,,26 Feb 2022 - Test 2
2022-03-05,,,05 Mar 2022
2022-03-12,,,12 Mar 2022
2022-03-19,March Break,1.0,19 Mar 2022 - March Break;1
2022-03-26,,,26 Mar 2022
2022-04-02,,,02 Apr 2022
2022-04-09,,,09 Apr 2022
2022-04-16,Easter,1.0,16 Apr 2022 - Easter;1
2022-04-23,,,23 Apr 2022
2022-04-30,,,30 Apr 2022
2022-05-07,,,07 May 2022
2022-05-14,Review 3,,14 May 2022 - Review 3
2022-05-21,Victoria Day,1.0,21 May 2022 - Victoria Day;1
2022-05-28,Test 3,,28 May 2022 - Test 3
2022-06-04,Last Day ,,04 Jun 2022 - Last Day 
